,Unnamed: 0,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
363,11,25,57,.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
365,13,55,27,.671,—,102.0,99.3,2.66,2010,Dallas Mavericks
366,14,50,32,.610,5.0,101.4,96.3,5.07,2010,San Antonio Spurs
367,15,42,40,.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
368,16,40,42,.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
369,17,37,45,.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
370,0,56,26,.683,—,96.5,91.1,4.83,2011,Boston Celtics
371,1,42,40,.512,14.0,106.5,105.7,0.48,2011,New York Knicks
372,2,41,41,.500,15.0,99.0,97.5,1.01,2011,Philadelphia 76ers
373,3,24,58,.293,32.0,94.2,100.4,-6.28,2011,New Jersey Nets
374,4,22,60,.268,34.0,99.1,105.4,-6.28,2011,Toronto Raptors
376,6,62,20,.756,—,98.6,91.3,6.53,2011,Chicago Bulls
377,7,37,45,.451,25.0,99.8,100.9,-1.38,2011,Indiana Pacers
378,8,35,47,.427,27.0,91.9,92.7,-1.02,2011,Milwaukee Bucks
379,9,30,52,.366,32.0,97.0,100.6,-3.78,2011,Detroit Pistons
380,10,19,63,.232,43.0,95.5,104.5,-8.88,2011,Cleveland Cavaliers
382,12,58,24,.707,—,102.1,94.6,6.76,2011,Miami Heat
383,13,52,30,.634,6.0,99.2,93.7,4.92,2011,Orlando Magic
384,14,44,38,.537,14.0,95.0,95.8,-1.10,2011,Atlanta Hawks
385,15,34,48,.415,24.0,93.3,97.3,-4.08,2011,Charlotte Bobcats
386,16,23,59,.280,35.0,97.3,104.7,-7.30,2011,Washington Wizards
388,1,55,27,.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder
389,2,50,32,.610,5.0,107.5,102.7,4.81,2011,Denver Nuggets
390,3,48,34,.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers
391,4,39,43,.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz
392,5,17,65,.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves
